Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Luka Dončić,26,LAL,PG,64,64,35.8,10.8,22.8,0.476,4.0,10.8,0.366,6.9,11.9,0.575,0.563,7.9,10.1,0.78,0.6,7.1,7.7,8.3,1.6,0.5,4.0,2.4,33.5,CPOY-8AS,doncilu01
2,Shai Gilgeous-Alexander,27,OKC,PG,68,68,33.2,10.8,19.4,0.553,1.7,4.4,0.386,9.1,15.0,0.602,0.597,7.9,9.0,0.879,0.6,3.7,4.3,6.6,1.4,0.8,2.2,2.0,31.1,CPOY-1AS,gilgesh01
3,Anthony Edwards,24,MIN,SG,61,60,35.0,9.9,20.2,0.489,3.4,8.4,0.399,6.5,11.8,0.554,0.572,5.7,7.2,0.796,0.6,4.4,5.0,3.7,1.4,0.8,2.9,1.9,28.8,CPOY-3AS,edwaran01
4,Jaylen Brown,29,BOS,SF,71,71,34.4,10.4,21.7,0.477,2.0,5.7,0.347,8.4,16.0,0.523,0.522,6.0,7.5,0.795,1.1,5.8,6.9,5.1,1.0,0.4,3.6,2.7,28.7,AS,brownja02
5,Tyrese Maxey,25,PHI,PG,70,70,38.0,9.9,21.4,0.462,3.1,8.6,0.367,6.8,12.9,0.525,0.536,5.3,6.0,0.892,0.3,3.8,4.1,6.6,1.9,0.8,2.4,2.2,28.3,CPOY-7AS,maxeyty01
6,Kawhi Leonard,34,LAC,SF,65,65,32.1,9.8,19.4,0.505,2.6,6.8,0.387,7.1,12.5,0.569,0.573,5.7,6.4,0.892,1.1,5.3,6.4,3.6,1.9,0.4,2.0,1.2,27.9,CPOY-10AS,leonaka01
7,Donovan Mitchell,29,CLE,SG,70,70,33.5,9.7,20.0,0.483,3.2,8.8,0.364,6.5,11.2,0.577,0.563,5.3,6.1,0.865,0.7,3.8,4.5,5.7,1.5,0.3,2.8,2.3,27.9,AS,mitchdo01
8,Nikola Jokić,30,DEN,C,65,65,34.8,9.9,17.4,0.569,1.7,4.5,0.38,8.2,12.9,0.636,0.618,6.1,7.4,0.831,3.0,9.9,12.9,10.7,1.4,0.8,3.7,2.7,27.7,CPOY-6AS,jokicni01
9,Giannis Antetokounmpo,31,MIL,PF,36,36,28.9,10.4,16.6,0.624,0.4,1.3,0.333,9.9,15.4,0.647,0.636,6.4,9.9,0.65,2.7,7.1,9.8,5.4,0.9,0.7,3.2,2.4,27.6,AS,antetgi01
10,Joel Embiid,31,PHI,C,38,38,31.6,9.0,18.3,0.489,1.4,4.2,0.333,7.6,14.2,0.535,0.527,7.5,8.8,0.854,2.0,5.7,7.7,3.9,0.6,1.2,2.9,2.2,26.9,,embiijo01
11,Lauri Markkanen,28,UTA,PF,42,42,34.4,9.1,19.2,0.477,2.7,7.7,0.355,6.4,11.5,0.559,0.548,5.7,6.4,0.896,2.0,4.9,6.9,2.1,1.0,0.5,1.5,1.8,26.7,,markkla01
12,Stephen Curry,37,GSW,PG,43,41,30.9,8.7,18.6,0.468,4.4,11.3,0.393,4.3,7.3,0.584,0.587,4.7,5.1,0.923,0.4,3.2,3.6,4.7,1.1,0.4,2.8,1.7,26.6,AS,curryst01
13,Devin Booker,29,PHO,SG,64,64,33.5,8.5,18.7,0.456,1.9,5.8,0.33,6.6,12.9,0.512,0.507,7.1,8.1,0.873,0.8,3.1,3.9,6.0,0.8,0.3,3.1,2.6,26.1,AS,bookede01
14,Jalen Brunson,29,NYK,PG,74,74,35.0,9.3,19.9,0.467,2.6,7.1,0.369,6.7,12.8,0.522,0.533,4.8,5.7,0.841,0.4,2.9,3.3,6.8,0.8,0.1,2.4,2.3,26.0,CPOY-5AS,brunsja01
15,Kevin Durant,37,HOU,SF,78,78,36.4,9.2,17.6,0.52,2.4,5.8,0.413,6.8,11.9,0.572,0.588,5.2,6.0,0.874,0.5,4.9,5.5,4.8,0.8,0.9,3.2,1.8,26.0,CPOY-9AS,duranke01
16,Jamal Murray,28,DEN,PG,75,75,35.4,8.8,18.1,0.483,3.3,7.5,0.435,5.5,10.6,0.517,0.573,4.6,5.2,0.887,0.4,4.0,4.4,7.1,0.9,0.4,2.3,1.7,25.4,CPOY-2AS,murraja01
17,Victor Wembanyama,22,SAS,C,64,55,29.2,8.6,16.9,0.512,1.9,5.5,0.349,6.7,11.4,0.59,0.569,5.8,7.0,0.827,2.0,9.5,11.5,3.1,1.0,3.1,2.4,2.4,25.0,DPOY-1AS,wembavi01
18,Deni Avdija,25,POR,SF,66,66,33.3,7.5,16.1,0.462,1.9,6.0,0.318,5.6,10.2,0.547,0.521,7.4,9.2,0.802,1.1,5.8,6.9,6.7,0.8,0.6,3.8,2.5,24.2,AS,avdijde01
19,Michael Porter Jr.,27,BRK,SF,52,52,32.5,8.5,18.4,0.463,3.4,9.3,0.363,5.2,9.1,0.567,0.555,3.8,4.4,0.859,1.3,5.7,7.1,3.0,1.1,0.3,2.3,2.2,24.2,,portemi01
20,Pascal Siakam,31,IND,PF,62,62,33.2,9.0,18.6,0.484,1.7,4.7,0.358,7.3,13.9,0.527,0.529,4.2,6.1,0.693,1.4,5.2,6.6,3.8,1.1,0.4,2.2,2.4,24.0,AS,siakapa01
21,Cade Cunningham,24,DET,PG,64,64,33.9,8.6,18.6,0.461,2.0,5.7,0.342,6.6,12.9,0.514,0.513,4.8,6.0,0.812,0.9,4.7,5.5,9.9,1.4,0.8,3.7,3.1,23.9,CPOY-4AS,cunnica01
22,James Harden,36,2TM,PG,70,70,34.8,7.0,16.0,0.434,3.1,8.2,0.375,3.9,7.9,0.495,0.529,6.6,7.5,0.884,0.6,4.2,4.8,8.0,1.1,0.4,3.5,2.0,23.6,,hardeja01
22,James Harden,36,LAC,PG,44,44,35.4,7.3,17.5,0.419,3.1,8.8,0.347,4.3,8.7,0.492,0.506,7.7,8.5,0.901,0.6,4.2,4.8,8.1,1.3,0.4,3.7,1.9,25.4,,hardeja01
22,James Harden,36,CLE,PG,26,26,33.8,6.3,13.5,0.466,3.1,7.1,0.435,3.2,6.5,0.5,0.58,4.8,5.8,0.84,0.5,4.3,4.8,7.7,0.8,0.5,3.2,2.1,20.5,,hardeja01
23,Keyonte George,22,UTA,PG,54,54,33.1,7.4,16.3,0.456,2.5,6.7,0.371,5.0,9.6,0.515,0.532,6.2,7.0,0.892,0.4,3.3,3.7,6.1,1.1,0.3,3.1,2.2,23.6,,georgke01
24,Austin Reaves,27,LAL,SG,51,45,34.5,7.3,14.9,0.49,2.3,6.4,0.36,5.0,8.5,0.588,0.567,6.3,7.3,0.871,0.6,4.1,4.7,5.5,1.1,0.4,3.0,2.2,23.3,,reaveau01
25,Jalen Johnson,24,ATL,SF,72,72,35.2,8.3,17.1,0.489,1.7,4.7,0.352,6.7,12.3,0.541,0.537,4.2,5.3,0.788,1.4,8.9,10.3,7.9,1.2,0.4,3.4,2.1,22.5,AS,johnsja05
26,Paolo Banchero,23,ORL,PF,72,72,34.8,7.3,16.0,0.459,1.2,3.8,0.305,6.2,12.2,0.507,0.496,6.3,8.2,0.775,1.2,7.2,8.4,5.2,0.7,0.6,3.1,2.0,22.2,,banchpa01
27,Jayson Tatum,27,BOS,PF,16,16,32.6,7.4,17.9,0.411,2.9,8.9,0.329,4.4,9.0,0.493,0.493,4.1,4.9,0.823,0.5,9.5,10.0,5.3,1.4,0.2,2.4,1.6,21.8,,tatumja01
